account,"vi: 설명하다 / 밝히다 vi: 비율을 차지하다 vi: 책임을 지다 vt: ~라고 간주하다 n: 서술 / 이야기 / 기사 n: 변명 / 설명 ; 이유 / 근거 / 동기 n: 예금계좌 / 계정 ; 신용거리 ; 고객 ; 계산서"
exclusive,"a: 유일의 / 하나뿐이 없는 a: 독점적인 / 배타적인 ; 특권층의 n: 독점기사 / 특종"
restrain,"vt: 억제하다 vt: 구속하다 vt: 제지하다 ; 단념시키다"
anonymous,"a: 작자불명의 / 신원 불명의 a: 익명의 / 이름을 안 밝히는"
hereditary,"a: 유전성의 / 유전하는 / 유전적인 a: 상속권에 의한 / 세습의"
unprecedented,"a: 전례가 없는 / 미증유의"
impartial,"a: 치우치지 않은 / 편견이 없는 ; 공평한"
biased,"a 편향된 / 치우친 a: 편견을 지닌"
irrelevant,"a: 무관계한 / 엉뚱한 / 부적절한"
homogeneous,"a: 같은 종류의 것으로 된 / 동종의 / 균질의"
insignificant,"a: 중요하지 않은 / 하찮은 / 사소한"
respect,"n: 존경 / 경의 ; 중시 ; 주의 / 관심 / 고려 n: 인사 / 안부 n: 점 / 사항 / 세목 vt: 존경하다 ; 고려하다 ; 유의하다"
abandon,"vt: 그만두다 / 단념하다 vt: 버리다 / 유기하다 n: 방종 / 탐닉"
sustain,"vt: 떠받치다 / 지탱하다 ; 부양하다 vt: 지속하다 / 유지하다 vt: 입다 / 경험하다"
beneficial,"a: 유익한 / 유리한 / 유용한"
alternative,"n: 양자택일 ; 대안 a: 양자택일인 / 선택적인 ; 대신하는"
tenacious,"a: 고집하는 / 고집이 센 ; 집요한 a: 기억력이 좋은"
eradicate,"vt: 뿌리째 뽑다 / 박멸하다 / 근절하다"
detrimental,"a: 손해를 입히는 / 불이익의 ; 해로운 n: 해로운 사람"
dominate,"vt: 지배하다 / 위압하다 vt: 우위를 차지하다 / 우세하다 vt: 억누르다"
surpass,"vt: ~보다 낫다 / ~을 능가하다 vt: 넘다 / 초월하다"
term,"n: 말 ; 술어 / 용어 ; 전문어 n: 말씨 / 어투 / 어구 / 표현 n: 기간 / 기한 ; 임기 ; 회기 ; 학기 n: 지불기일 ; 약정기간 ; 권리의 존속기한 n: 조건 / 조항 n: 협약 / 약정 / 협정 n: 관계 / 사이 vt: 이름 짓다 / 칭하다 / 부르다"
initiative,"n: 새로운 계획이나 구상 n: 주도 ; 진취성 / 솔선 n: 발의권 / 국민발안"
gregarious,"a: 사교적인 / 집단을 좋아하는 a: 떼지어 사는 / 군거성의"
feasible,"a: 실행할 수 있는 ; 가능한 a: 그럴싸한 / 있음직한"
variety,"n: 다양성 / 변화 n: 여러 가지 / 갖가지 / 각양각색 n: 이종 / 별종 ; 버라이어티 쇼"
effect,"n: 결과 ; 효과 / 영향 / 효력 n: 효능 n: 광경 / 인상 ; 외양 / 체면 n: 동산 ; 물품 ; 개인 자산 / 소유물 vt: 초래하다 vt: 이루다 / 달성하다"
ban,"vt: 금지하다 n: 금지 / 금지령 / 금제 n: 파문 / 추방"
disparity,"n: 서로 다름 / 차이 ; 불균형 / 불일치"
diversity,"n: 다양성 ; 여러 가지 / 잡다한 것 n: 차이점"
inevitable,"a: 피할 수 없는 / 불가피한 ; 필연적인 a: 어김없는 / 판에 박은 n: 피할 수 없는 일 ; 어쩔 수 없는 운명"
indigenous,"a: 지역 고유의 ; 토착의 a: 타고난 / 생득적인"
innate,"a: 타고난 / 천부의 / 선천적인"
chronic,"a: 고질적인 / 만성적인 n: 만성병 환자"
eliminate,"vt: ~을 제외하다 / 무시하다 vt: 제거하다 ; 삭제하다 ; 탈락시키다"
reiterate,"vt: 되풀이하다 / 반복하다"
intrepid,"a: 용맹한 / 대담한 ; 무서움을 모르는"
intimidate,"vt: 협박하다 ; 위협하여 ~하게하다"
innocuous,"a: 해가 없는 / 독이 없는 ; 악의가 없는"
altruistic,"a: 자신보다 남을 위하는 / 이타적인"
indifferent,"a: 무관심한 / 냉담한 / 개의치 않는 a: 중요치 않은 / 시시한 / 그저 그런"
inquisitive,"a: 탐구적인 / 알고 싶어하는 / 호기심이 강한 a: 꼬치꼬치 캐묻기 좋아하는 n: 호기심이 강한 사람"
superficial,"a: 피상적인 / 겉으로만 그럴듯한 a: 깊이가 없는 / 얄팍한 a: 깊지않은 / 표피상의 ; 표면의"
equivocal,"a: 두가지 뜻으로 해석되는 / 뚜렷하지 않은 a: 모호한 ; 분명치 않은"
opposite,"a: 마주보고 있는 ; 맞은편의 a: 정반대의 n: 정반대의 일 / 적수 ad: 맞은편에 / 정반대의 위치에"
arbitrary,"a: 임의적인 / 제멋대로인 a: 전횡을 일삼는 / 독단적인"
fluctuate,"vi: 오르내리다 / 변동하다 vi: 파동치다 ; 동요하다 ; 흔들리다"
precipitate,"vt: 마구 재촉하다 / 촉진시키다 vt: 거꾸로 떨어뜨리다 / 팽개치다 vi: 서두르다 vi: 침전하다 / 응결하다 ; 거꾸로 떨어지다 a: 다급한 / 경솔한 ; 거꾸로의 ; 돌진하는"
temporary,"a: 일시적인 / 순간의 / 덧없는 a: 임시의 / 임시변통의 n: 임시변통한 것"
ephemeral,"a: 순식간의 / 덧없는 / 일시적인 a: 하루살이 목숨의 / 명이 짧은"
transient,"a: 일시의 / 잠깐 머무르는 ; 덧없는 n: 뜨내기 / 단기 체류객"
permanent,"a: 영속하는 / 영구적인 / 불변의 a: 상설의 / 종신의"
persistent,"a: 끊임없이 지속되는 ; 만성의 a: 끈질긴 / 집요한"
determinedly,"ad: 단호하게 / 한사코"
deviate,"vi: 벗어나다 / 일탈하다 vt: 빗나가게 하다 / 벗어나게 하다 n: 비정상적인 사람 ; 성적 도착자"
unpredictable,"a: 예측할 수 없는"
compromise,"n: 타협 / 절충 ; 화해 n: 절충한 / 절충물 n: 위태롭게 함 vt: 타협시키다 ; 화해시키다 vt: 더럽히다 / 손상하다 vi: 타협하다 / 화해하다 vi: 굴욕적으로 양보하다"
incompatible,"a: 양립할 수 없는 / 모순된 ; 조화되지 않는"
endorse,"vt: 배서하다 vt: 지지하다 / 승인하다 / 찬성하다 vt: 보증하다"
liability,"n: 부채 / 채무 / 빚 n: 책임 / 의무 ; 부담 n: 불리한 일 ; 골칫거리 n: ~하기 쉬움 / 걸리기 쉬움"
comply,"vi: 따르다 / 응하다"
apathetic,"a: 무감각한 / 냉담한 / 관심이 없는"
lenient,"a: 너그러운 / 관대한 a: 완화시키는"
pertinent,"a: 적절한 / 관련된 ; ~에 속하는"
complacent,"a: 스스로 만족하여 안주하는"
discretion,"n: 분별력 / 판단력 ; 신중함 / 사려 n: 재량"
distinguish,"vt: 구별하다 / 식별하다 vt: 돋보이게 하다 vi: 구별하다"
formidable,"a: 가공할 / 어마어마한 ; 무서운 a: 만만치 않은 ; 엄청나게 많은"
potent,"a: 강력한 / 유력한 / 힘센 ; 영향력이 있는 a: 효력이 있는"
integral,"a: 없어서는 안될 / 필수적인 a: 완전한 ; 완전체의"
disintegration,"n: 분해 / 붕괴 ; 분열 ; 분산"
